,28079008,28079011,28079018,28079024,28079038,28079055
2016-12-11 13:00:00,1.2,3.5,16.32,2.3,1.9,0.9
2016-12-11 14:00:00,1.1,3.8,17.51,1.9,4.1,0.9
2016-12-11 15:00:00,2.0,5.4,20.09,1.1,4.9,1.0
2016-12-11 16:00:00,2.2,6.3,26.12,1.0,3.6,1.3
2016-12-11 17:00:00,2.1,6.3,17.38,0.7,2.4,2.0
2016-12-11 18:00:00,2.2,5.5,3.87,0.6,2.6,2.4
2016-12-11 19:00:00,2.9,7.3,1.0,0.8,2.5,2.9
2016-12-11 20:00:00,3.4,5.6,1.0,1.3,5.3,5.2
2016-12-11 21:00:00,3.8,7.4,1.0,1.3,6.1,5.4
2016-12-11 22:00:00,4.2,5.9,0.81,1.7,7.3,3.5
2016-12-11 23:00:00,5.3,6.4,1.0,1.6,8.9,4.9
2016-12-12 00:00:00,5.2,6.3,0.93,1.4,5.2,7.2
2016-12-12 01:00:00,3.6,7.1,1.0,0.8,4.0,5.1
2016-12-12 02:00:00,3.4,7.3,1.0,1.1,3.4,5.0
2016-12-12 03:00:00,3.9,8.6,1.0,1.6,6.4,5.3
2016-12-12 04:00:00,3.8,9.4,1.0,3.4,8.4,5.6
2016-12-12 05:00:00,3.4,9.0,1.0,4.1,9.3,5.1
2016-12-12 06:00:00,2.8,8.6,1.0,3.4,12.7,2.9
2016-12-12 07:00:00,3.1,8.2,1.0,2.8,8.2,2.6
2016-12-12 08:00:00,4.3,7.6,1.0,2.9,13.3,2.8
2016-12-12 09:00:00,5.3,7.0,0.89,3.6,13.7,3.0
2016-12-12 10:00:00,1.5,6.8,2.9,4.7,16.4,3.5
2016-12-12 11:00:00,9.1,2.3,12.96,6.3,13.0,3.8
2016-12-12 12:00:00,8.8,2.8,14.03,7.8,14.7,4.3
2016-12-12 13:00:00,9.3,8.3,16.32,8.7,1.9,3.9
2016-12-12 14:00:00,9.1,14.4,17.51,9.3,18.3,5.3
2016-12-12 15:00:00,11.0,13.8,20.09,7.6,16.4,5.9
2016-12-12 16:00:00,10.9,10.8,26.12,6.1,11.7,7.2
2016-12-12 17:00:00,9.6,9.0,17.38,9.0,11.3,5.9
2016-12-12 18:00:00,8.7,13.3,3.87,8.8,19.7,5.8
2016-12-12 19:00:00,10.9,20.0,1.0,9.4,18.1,7.3
2016-12-12 20:00:00,9.1,15.9,1.0,11.1,12.8,8.4
2016-12-12 21:00:00,11.9,14.4,1.0,10.4,19.7,8.2
2016-12-12 22:00:00,10.8,19.7,0.81,10.1,32.9,8.4
2016-12-12 23:00:00,9.7,18.1,1.0,8.9,35.3,9.0
2016-12-13 00:00:00,10.7,15.8,0.93,8.8,26.7,9.6
2016-12-13 01:00:00,13.0,12.2,1.0,9.0,25.0,10.5
2016-12-13 02:00:00,13.9,9.4,1.0,10.5,21.1,10.0
2016-12-13 03:00:00,15.4,11.1,1.0,11.2,20.3,9.6
2016-12-13 04:00:00,13.3,10.4,1.0,11.8,19.1,9.1
2016-12-13 05:00:00,9.7,9.3,1.0,11.8,21.6,8.5
2016-12-13 06:00:00,6.3,8.2,1.0,6.6,22.8,8.1
2016-12-13 07:00:00,4.5,6.9,1.0,8.4,18.0,6.8
2016-12-13 08:00:00,4.5,6.7,1.0,7.9,17.7,5.9
2016-12-13 09:00:00,5.2,6.8,0.89,5.9,12.7,5.5
2016-12-13 10:00:00,5.4,6.4,2.9,6.1,9.8,6.6
2016-12-13 11:00:00,6.3,6.2,12.96,6.3,9.6,6.3
2016-12-13 12:00:00,6.3,6.7,14.03,7.8,12.6,6.2
2016-12-13 13:00:00,4.8,6.4,16.32,5.2,11.8,6.1
2016-12-13 14:00:00,4.8,5.9,17.51,5.3,9.7,3.4
2016-12-13 15:00:00,5.3,5.1,20.09,5.0,11.1,2.4
2016-12-13 16:00:00,5.8,5.6,26.12,5.8,12.9,2.4
2016-12-13 17:00:00,4.2,6.2,17.38,6.7,12.5,3.3
